budget,method,metric,n,mean,median,std,min,max
96,top_k,score,24,1.6301785364126167,1.5364820495247842,0.27364597257323325,1.19538094997406,2.256034179031849
96,top_k,relevance_sum,24,1.9169331900775433,1.7103606164455414,0.4601740758404128,1.27133047580719,2.9732746481895447
96,top_k,redundancy_total,24,2.8675465366492667,1.8851401954889297,2.0008304913322914,0.7594952583312988,7.247876852750778
96,top_k,redundancy_per_pair,24,0.5904191085093079,0.6084613253672917,0.1263264505749734,0.3415430805512837,0.8603157798449198
96,top_k,n_selected,24,3.5833333333333335,3.0,1.138903617201808,2.0,7.0
96,top_k,tokens_used,24,92.16666666666667,93.0,2.9733112366761953,86.0,96.0
96,top_k,budget_utilization,24,0.9600694444444443,0.96875,0.030971992048710362,0.8958333333333334,1.0
96,top_k,unique_coverage,24,0.17373829283175257,0.16228070175438597,0.038859639724720826,0.1111111111111111,0.2777777777777778
96,top_k,optimality_gap,24,0.2505556828024289,0.24704626568117646,0.1270494160722325,0.0,0.5268931988988477
96,mmr,score,24,1.5578429596731438,1.5488105989992618,0.3059981681604947,0.7977482914924622,2.014530797302723
96,mmr,relevance_sum,24,1.7510152775794268,1.7165106981992722,0.4123336253367076,0.8056290149688721,2.4002828001976013
96,mmr,redundancy_total,24,1.9317231790628284,1.9116614013910294,1.1386581359683035,0.07880723476409912,4.6828514859080315
96,mmr,redundancy_per_pair,24,0.3028447174522582,0.29590067341923715,0.10169406784283103,0.07880723476409912,0.5287371277809143
96,mmr,n_selected,24,4.041666666666667,4.5,1.2676293062133797,2.0,7.0
96,mmr,tokens_used,24,90.95833333333333,91.0,3.5322017602852642,83.0,96.0
96,mmr,budget_utilization,24,0.9474826388888888,0.9479166666666666,0.036793768336304836,0.8645833333333334,1.0
96,mmr,unique_coverage,24,0.2266638307369732,0.24922600619195046,0.07872451751996347,0.09523809523809523,0.3888888888888889
96,mmr,optimality_gap,24,0.2835709478102589,0.25769245391288254,0.1503322963630096,0.021052971392229274,0.6182853517560872
96,greedy_objective,score,24,1.6536297143747412,1.5435642689466476,0.29280710018654654,1.19538094997406,2.2577838391065597
96,greedy_objective,relevance_sum,24,1.9015483520925045,1.7089102268218994,0.44022164807391323,1.27133047580719,2.9277954399585724
96,greedy_objective,redundancy_total,24,2.4791863771776357,1.8603370189666748,1.528026858157434,0.7594952583312988,6.700116008520126
96,greedy_objective,redundancy_per_pair,24,0.5322731432401472,0.5317896058162054,0.11330829856574687,0.31905314326286316,0.7594952583312988
96,greedy_objective,n_selected,24,3.5833333333333335,3.0,1.138903617201808,2.0,7.0
96,greedy_objective,tokens_used,24,92.33333333333333,93.0,2.713359327582639,86.0,96.0
96,greedy_objective,budget_utilization,24,0.9618055555555557,0.96875,0.028264159662319144,0.8958333333333334,1.0
