seed,budget,n_docs,method,score,relevance_sum,redundancy_total,redundancy_per_pair,n_selected,tokens_used,budget_utilization,unique_coverage,optimality_gap,gap_is_valid,ilp_proven_global_optimum,ilp_status,solve_status,solve_scope,stop_reason,latency_ms,density_diagnostic
0,96,25,top_k,1.6429697930812837,1.8378530740737915,1.9488328099250793,0.6496109366416931,3,94,0.9791666666666666,0.14285714285714285,0.2138552431518153,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.027333036996424198,17.478402054056208
0,96,25,mmr,0.7977482914924622,0.8056290149688721,0.07880723476409912,0.07880723476409912,2,85,0.8854166666666666,0.09523809523809523,0.6182853517560872,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.014499993994832039,9.385274017558379
0,96,25,greedy_objective,1.6429697930812837,1.8378530740737915,1.9488328099250793,0.6496109366416931,3,94,0.9791666666666666,0.14285714285714285,0.2138552431518153,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.012417032849043608,17.478402054056208
0,96,25,greedy_token_aware,1.9801975034177304,2.390643037855625,4.104455344378948,0.19545025449423564,7,91,0.9479166666666666,0.3333333333333333,0.05249512718296378,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.04091695882380009,21.760412125469564
0,96,25,ilp,2.0899074614048003,2.4819048047065735,3.9199734330177307,0.39199734330177305,5,93,0.96875,0.23809523809523808,0.0,True,True,proven_optimal,proven_optimal,full_corpus,n/a,127.07920803222805,22.47212324091183
0,128,25,top_k,1.706492656469345,1.9449870586395264,2.3849440217018127,0.7949813405672709,3,120,0.9375,0.14285714285714285,0.27297182243598583,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.025916029699146748,14.220772137244543
0,128,25,mmr,1.6379308582283556,1.8361718356609344,1.982409774325788,0.1982409774325788,5,122,0.953125,0.23809523809523808,0.30218165175267797,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.022625026758760214,13.425662772363571
0,128,25,greedy_objective,1.706492656469345,1.9449870586395264,2.3849440217018127,0.7949813405672709,3,120,0.9375,0.14285714285714285,0.27297182243598583,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.011625001206994057,14.220772137244543
0,128,25,greedy_token_aware,2.319906459003687,2.986563414335251,6.6665695533156395,0.31745569301503046,7,119,0.9296875,0.3333333333333333,0.011635146149406049,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.03950000973418355,19.495012260535184
0,128,25,ilp,2.3472166679799558,3.014937609434128,6.677209414541721,0.3179623530734153,7,122,0.953125,0.3333333333333333,0.0,True,True,proven_optimal,proven_optimal,full_corpus,n/a,122.3284580046311,19.239480885081605
0,192,25,top_k,2.661164167523384,3.492042899131775,8.308787316083908,0.5539191544055939,6,187,0.9739583333333334,0.2857142857142857,0.06010184961808058,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.038624973967671394,14.230824425258739
0,192,25,mmr,2.5856309519149363,3.3520597517490387,7.664287998341024,0.27372457136932227,8,191,0.9947916666666666,0.38095238095238093,0.08677947082957047,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.03549997927621007,13.537334826779771
0,192,25,greedy_objective,2.661164167523384,3.492042899131775,8.308787316083908,0.5539191544055939,6,187,0.9739583333333334,0.2857142857142857,0.06010184961808058,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.021249987185001373,14.230824425258739
0,192,25,greedy_token_aware,2.831332486867905,4.097372233867645,12.660397469997406,0.45215705249990734,8,187,0.9739583333333334,0.38095238095238093,0.0,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.046290981117635965,15.140815437796281
0,192,25,ilp,2.831332486867905,4.097372233867645,12.660397469997406,0.45215705249990734,8,187,0.9739583333333334,0.38095238095238093,0.0,True,True,proven_optimal,proven_optimal,full_corpus,n/a,298.80479199346155,15.140815437796281
0,256,25,top_k,3.062047281861305,4.805046439170837,17.42999157309532,0.48416643258598113,9,252,0.984375,0.42857142857142855,0.0,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.04704197635874152,12.150981277227402
0,256,25,mmr,2.6834880352951584,3.8638020902872086,11.8031405499205,0.26229201222045556,10,254,0.9921875,0.47619047619047616,0.1236294582414268,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.04120898665860295,10.564913524784089
0,256,25,greedy_objective,3.062047281861305,4.805046439170837,17.42999157309532,0.48416643258598113,9,252,0.984375,0.42857142857142855,0.0,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.02916704397648573,12.150981277227402
0,256,25,greedy_token_aware,3.0438382463529705,4.649258740246296,16.054204938933253,0.3567601097540723,10,237,0.92578125,0.47619047619047616,0.005946686589785785,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.05304196383804083,12.843199351700298
0,256,25,ilp,3.062047281861305,4.805046439170837,17.42999157309532,0.48416643258598113,9,252,0.984375,0.42857142857142855,0.0,True,True,proven_optimal,proven_optimal,full_corpus,n/a,988.094958011061,12.150981277227402
0,384,25,top_k,3.1014187783002853,4.914189517498016,18.12770739197731,0.5035474275549253,9,382,0.9947916666666666,0.42857142857142855,0.02571042609570503,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.049084017518907785,8.118897325393418
0,384,25,mmr,2.740078626666218,4.046008348464966,13.059297217987478,0.29020660484416616,10,383,0.9973958333333334,0.47619047619047616,0.13922297229980318,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.04033301956951618,7.154252288945739
0,384,25,greedy_objective,3.1014187783002853,4.914189517498016,18.12770739197731,0.5035474275549253,9,382,0.9947916666666666,0.42857142857142855,0.02571042609570503,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.029499991796910763,8.118897325393418
0,384,25,greedy_token_aware,3.1425468700006602,5.645132847130299,25.025859771296382,0.37917969350449066,12,318,0.828125,0.5714285714285714,0.012790316364436961,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.0613329466432333,9.882222861637297
0,384,25,ilp,3.183261795435101,5.383593440055847,22.003316446207464,0.4000602990219539,11,334,0.8697916666666666,0.5238095238095238,0.0,True,True,proven_optimal,proven_optimal,full_corpus,n/a,1885.6040840037167,9.530723938428446
0,512,25,top_k,3.1515192908234892,5.959603190422058,28.080838995985687,0.42546725751493464,12,504,0.984375,0.5714285714285714,0.021425322331607398,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_candidate_fits_budget,0.05483301356434822,6.253014465919622
0,512,25,mmr,2.945098137203604,4.961333736777306,20.162355995737016,0.3054902423596518,12,492,0.9609375,0.5714285714285714,0.08552092043113073,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.04904199158772826,5.985971823584561
0,512,25,greedy_objective,3.220519969239831,5.410134680569172,21.89614711329341,0.3981117656962438,11,432,0.84375,0.5238095238095238,0.0,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.03654096508398652,7.454907336203313
0,512,25,greedy_token_aware,3.1445032950490712,6.117072112858295,29.72568817809224,0.381098566385798,13,460,0.8984375,0.6190476190476191,0.023603851215585746,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.0659999786876142,6.835876728367547
0,512,25,ilp,3.220519969239831,5.410134680569172,21.89614711329341,0.3981117656962438,11,432,0.84375,0.5238095238095238,0.0,True,True,proven_optimal,proven_optimal,full_corpus,n/a,4718.431333953049,7.454907336203313
0,768,25,top_k,3.1515192908234892,5.959603190422058,28.080838995985687,0.42546725751493464,12,504,0.65625,0.5714285714285714,0.021425322331607398,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.058500037994235754,6.253014465919622
0,768,25,mmr,2.9818966262973845,5.587373241782188,26.05476615484804,0.3340354635236928,13,531,0.69140625,0.6190476190476191,0.07409466335300226,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.05258404416963458,5.615624531633492
0,768,25,greedy_objective,3.220519969239831,5.410134680569172,21.89614711329341,0.3981117656962438,11,432,0.5625,0.5238095238095238,0.0,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.03645900869742036,7.454907336203313
0,768,25,greedy_token_aware,3.1445032950490712,6.117072112858295,29.72568817809224,0.381098566385798,13,460,0.5989583333333334,0.6190476190476191,0.023603851215585746,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.06725004641339183,6.835876728367547
0,768,25,ilp,3.220519969239831,5.410134680569172,21.89614711329341,0.3981117656962438,11,432,0.5625,0.5238095238095238,0.0,True,True,proven_optimal,proven_optimal,full_corpus,n/a,4543.415457999799,7.454907336203313
0,1024,25,top_k,3.1515192908234892,5.959603190422058,28.080838995985687,0.42546725751493464,12,504,0.4921875,0.5714285714285714,0.021425322331607398,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.05483301356434822,6.253014465919622
0,1024,25,mmr,2.9818966262973845,5.587373241782188,26.05476615484804,0.3340354635236928,13,531,0.5185546875,0.6190476190476191,0.07409466335300226,True,True,proven_optimal,heuristic_no_guarantee,full_corpus,no_positive_marginal_gain,0.05037500523030758,5.615624531633492
