comparison,budget,n_pairs,wins,losses,ties,mean_diff,median_diff,std_diff,min_diff,max_diff,cohens_dz,rank_biserial,wilcoxon_p,n_nonzero
greedy_token_aware_vs_top_k,96,24,23,0,1,0.5516874414868652,0.5014718364924191,0.3264032265181779,0.0,1.3119428247213363,1.690202169175374,1.0,2.7015948487105505e-05,23
greedy_token_aware_vs_top_k,128,24,23,1,0,0.5502931975061074,0.5546291855163872,0.31937760545951877,-0.015405628085136236,1.1676702171564102,1.7230174818123158,0.9933333333333333,2.384185791015625e-07,24
greedy_token_aware_vs_top_k,192,24,23,1,0,0.25185760815317426,0.18679537922143918,0.29196696880253575,-0.09904306307435062,1.362443961203098,0.8626236357699476,0.9533333333333334,2.2649765014648438e-06,24
greedy_token_aware_vs_top_k,256,24,19,3,2,0.10793212308393167,0.056411744281649634,0.16161695343128823,-0.11153003722429311,0.5238513365387916,0.6678267396608192,0.8023715415019763,0.0009832943169057011,22
greedy_token_aware_vs_top_k,384,24,17,7,0,0.07128058013040568,0.02350429967045775,0.12490717689390644,-0.10979101546108705,0.39151125252246866,0.5706684107587342,0.5933333333333334,0.009575724601745605,24
greedy_token_aware_vs_top_k,512,24,15,9,0,0.058727256437608344,0.02487187907099697,0.10572816997140214,-0.09114026762545135,0.427672378718853,0.5554551493087715,0.5933333333333334,0.009575724601745605,24
greedy_token_aware_vs_top_k,768,24,13,11,0,0.027517921784116623,0.007404613308608532,0.0701178542106726,-0.08105334676802167,0.19757176041603097,0.39245242305101996,0.32,0.1779801845550537,24
greedy_token_aware_vs_top_k,1024,24,13,11,0,0.027517921784116623,0.007404613308608532,0.0701178542106726,-0.08105334676802167,0.19757176041603097,0.39245242305101996,0.32,0.1779801845550537,24
greedy_token_aware_vs_top_k,2048,24,13,11,0,0.027517921784116623,0.007404613308608532,0.0701178542106726,-0.08105334676802167,0.19757176041603097,0.39245242305101996,0.32,0.1779801845550537,24
greedy_token_aware_vs_top_k,POOLED,216,159,54,3,0.1860368857944936,0.06281110793352118,0.2850611860641682,-0.11153003722429311,1.362443961203098,0.6526208929496845,0.7519196173928305,1.8180620902688065e-21,213
greedy_token_aware_vs_mmr,96,24,24,0,0,0.6240230182263379,0.5624802358448505,0.3459709440161707,0.029568459093570754,1.3088549196720123,1.8036862026111968,1.0,1.1920928955078125e-07,24
greedy_token_aware_vs_mmr,128,24,24,0,0,0.46730270988773553,0.41198447532951843,0.2957203311364852,0.06208136295899758,1.2447134129703044,1.5802184046387364,1.0,1.1920928955078125e-07,24
