seed,beta_target,redundancy,accepted,beta_hat,D,pearson_r_relevance_tokens,spearman_rho_relevance_tokens,n_usable,n_below_threshold,n_relevance_clipped_low,n_relevance_clipped_high,relevance_mean,relevance_median,relevance_std,relevance_min,relevance_max,tokens_mean,tokens_std,tokens_min,tokens_max,tokens_cv,tokens_total,similarity_mean,similarity_std,similarity_min,similarity_max
1,1.0,high,True,0.6625398014638143,0.31333333333333346,0.1334516473842605,0.2590954039316808,9,16,0,0,0.04888259531653824,0.0292193842092633,0.05623957295522552,0.001344880630101164,0.26926338434300595,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.11752133968244247,0.27006630920016167,-0.20112633915115954,0.8012263884628125
1,1.5,low,True,1.2061788342318835,0.31333333333333346,0.3183145253056535,0.4746874190902859,9,16,0,0,0.0530787767012732,0.04040131598022266,0.059274700680920854,0.0015049618900612423,0.2992048757435934,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.02745579474525817,0.12427033714046141,-0.3150673687369269,0.41888843614943244
1,1.5,high,True,1.2061788342318835,0.31333333333333346,0.3183145253056535,0.4746874190902859,9,16,0,0,0.0530787767012732,0.04040131598022266,0.059274700680920854,0.0015049618900612423,0.2992048757435934,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.11785644795133952,0.26994369782652006,-0.201115619583433,0.801176941265954
1,2.0,low,True,1.7806641601673578,0.26666666666666683,0.5958672336380487,0.7391726234009318,10,15,0,0,0.061822165762484005,0.04343530385407853,0.061798068234304934,0.0022258828490456877,0.29874991167035153,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.02840637855381825,0.12424123771733767,-0.3114220467916937,0.4199000603425751
1,2.0,high,True,1.7806641601673578,0.26666666666666683,0.5958672336380487,0.7391726234009318,10,15,0,0,0.061822165762484005,0.04343530385407853,0.061798068234304934,0.0022258828490456877,0.29874991167035153,92.04,40.13153373595382,32,208,0.43602274810901587,2301,0.11869804528506732,0.2696818551361728,-0.20102481910475076,0.8013540521109196
2,-0.5,low,True,-0.47744989919093067,0.20000000000000018,-0.19672779191963707,-0.24043085653448706,9,16,0,0,0.07930721775246466,0.04119150797503507,0.08884100948406519,0.004424578836674302,0.36856037127105434,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.024008014346734486,0.1422746498228178,-0.3253255151473492,0.37471985917356754
2,-0.5,high,True,-0.47744989919093067,0.20000000000000018,-0.19672779191963707,-0.24043085653448706,9,16,0,0,0.07930721775246466,0.04119150797503507,0.08884100948406519,0.004424578836674302,0.36856037127105434,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.1115583244200454,0.27465889295429763,-0.24263712753029024,0.7768309219712279
2,0.0,low,True,0.021591774856422028,0.26666666666666683,-0.011513180406991903,0.03000577089550399,10,15,0,0,0.07868009196766156,0.03406682026006058,0.0880483338160111,0.004224055422515908,0.3584865784288774,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.023905405656927153,0.1423313119655031,-0.331467528245458,0.38083091086769655
2,0.0,high,True,0.021591774856422028,0.26666666666666683,-0.011513180406991903,0.03000577089550399,10,15,0,0,0.07868009196766156,0.03406682026006058,0.0880483338160111,0.004224055422515908,0.3584865784288774,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.11145416857535084,0.27492227690925297,-0.2445661938822803,0.7815067005184824
2,0.5,low,True,0.5197609640223626,0.3400000000000002,0.19533287594879845,0.2538949845004184,10,15,0,0,0.07967377161440592,0.04242778485312683,0.08885989399017882,0.00445610070117607,0.32200886435445364,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.023995672352710627,0.1423226604014022,-0.3346291139413532,0.38691161662344525
2,0.5,high,True,0.5197609640223626,0.3400000000000002,0.19533287594879845,0.2538949845004184,10,15,0,0,0.07967377161440592,0.04242778485312683,0.08885989399017882,0.00445610070117607,0.32200886435445364,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.11149138087448303,0.27507014220752407,-0.24966249933336931,0.78671408540365
2,1.0,low,True,1.0170000517468931,0.28666666666666685,0.42834483027465275,0.42892864805752495,10,15,0,0,0.08243779263476496,0.04453692012813345,0.09219070278066421,0.005228919936397772,0.32242977985971605,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.02432064831613581,0.14227685293318834,-0.3362034818793694,0.39045810484401683
2,1.0,high,True,1.0170000517468931,0.28666666666666685,0.42834483027465275,0.42892864805752495,10,15,0,0,0.08243779263476496,0.04453692012813345,0.09219070278066421,0.005228919936397772,0.32242977985971605,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.11168781068788969,0.27502144235555953,-0.25630078413738966,0.7896512113790617
2,1.5,low,True,1.513089714705077,0.26666666666666683,0.6682389928296859,0.6224274013964801,11,14,0,0,0.08747788243971293,0.035596657264713547,0.10177387228194884,0.00666895609115092,0.33907588898297447,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.02496160750393524,0.14218985100185577,-0.3369665920494776,0.38900507079626495
2,1.5,high,True,1.513089714705077,0.26666666666666683,0.6682389928296859,0.6224274013964801,11,14,0,0,0.08747788243971293,0.035596657264713547,0.10177387228194884,0.00666895609115092,0.33907588898297447,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.11204228809253332,0.2745771440423734,-0.2628666418297605,0.7874985750595127
2,2.0,low,True,2.0073767913404397,0.17333333333333345,0.8548355345949497,0.7593768172785241,10,15,0,0,0.0957618369427929,0.034431629885465366,0.12474010404755513,0.008641955546314013,0.5203823145874866,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.026037521551148347,0.14201395141786255,-0.33732870307014085,0.3810758731993499
2,2.0,high,True,2.0073767913404397,0.17333333333333345,0.8548355345949497,0.7593768172785241,10,15,0,0,0.0957618369427929,0.034431629885465366,0.12474010404755513,0.008641955546314013,0.5203823145874866,87.28,47.40035161613607,30,224,0.5430837719538963,2182,0.11242230939095814,0.27321788909454986,-0.26830592171511636,0.7794543649260274
