adversarial_applied,analysis_group,arm,beta_hat,beta_hat_n_dropped_nonpositive,beta_hat_n_used,beta_target,budget_level,budget_utilization,corpus_token_mass,embedding_backend,gamma,gap_reference_is_proven_optimal,ilp_model_build_ms,ilp_n_pairs,ilp_objective_consistent,ilp_optimum,ilp_proven_optimal,ilp_solution_status_raw,ilp_solver_ms,ilp_solver_objective,ilp_solver_status_raw,ilp_time_limit_s,instance_id,instance_relevance_mean,instance_similarity_mean,instance_tokens_cv,is_proven_global_optimum,marginal_utility_per_token_mean,method,mmr_lambda,n_docs,n_pairs,n_selected,n_topics,objective_lambda,objective_score,optimality_gap_absolute,optimality_gap_relative,pearson_r_relevance_tokens,protocol_version,redundancy_level,redundancy_per_pair,redundancy_total,relevance_min,relevance_of_selected_mean,relevance_sum,rho_c,rho_target,rl_condition,rl_condition_name,runtime_ms,seed,solve_scope,solve_status,spearman_rho_relevance_tokens,stop_reason,tokens_of_selected_max,tokens_of_selected_mean,tokens_of_selected_median,tokens_of_selected_min,tokens_of_selected_std,tokens_used,unique_coverage,w_max,w_sat,w_sat_pre_intervention,w_sat_proven,w_sat_status
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,tight,0.9841986455981941,2318,,0.15,True,,,,2.4262434059598603,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.007064575625717753,top_k,0.5,25,21,7,5,0.1,2.411064131733427,0.015179274226433392,0.006256286648382762,-0.5180005371511215,0.1-pilot,low,0.3427022572897485,3.8850185834555173,,0.39993799858271123,2.7995659900789787,0.0,0.25,A,independent,0.07841701153665781,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,83.0,62.285714285714285,68.0,35.0,16.24514579512175,436,,443,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,tight,0.9977426636568849,2318,,0.15,True,,,,2.4262434059598603,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.006781888576693597,mmr,0.5,25,21,7,5,0.1,2.4248939926072106,0.0013494133526497087,0.000556173939240799,-0.5180005371511215,0.1-pilot,low,0.29662914960987646,2.854711081140636,,0.3871950143887535,2.7103651007212743,0.0,0.25,A,independent,0.042208004742860794,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,74.0,63.142857142857146,69.0,35.0,15.181442305531794,442,,443,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,tight,0.9345372460496614,2318,,0.15,True,,,,2.4262434059598603,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.006863637219289709,greedy_objective,0.5,25,15,6,5,0.1,2.209821823991788,0.21642158196807237,0.08920027621155041,-0.5180005371511215,0.1-pilot,low,0.3236504017750593,1.915562038717068,,0.40022967131058246,2.401378027863495,0.0,0.25,A,independent,0.03458396531641483,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,115.0,69.0,70.5,35.0,27.254357449773053,414,,443,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,tight,0.9390519187358917,2318,,0.15,True,,,,2.4262434059598603,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.007187909054205213,greedy_token_aware,0.5,25,21,7,5,0.1,2.363807090815119,0.06243631514474135,0.025733739241236828,-0.5180005371511215,0.1-pilot,low,0.35216669791134325,4.005503065785709,,0.39490819962767,2.76435739739369,0.0,0.25,A,independent,0.05162501474842429,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,74.0,59.42857142857143,63.0,35.0,13.525989093311475,416,,443,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,tight,0.9932279909706546,2318,,0.15,True,1.781958038918674,231,True,2.4262434059598603,True,1,153.44849997200072,2.4262434059598603,Optimal,600.0,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,True,0.006977726771623227,ilp,0.5,25,21,7,5,0.1,2.4262434059598603,0.0,0.0,-0.5180005371511215,0.1-pilot,low,0.32821933221818583,3.4937886278889168,,0.39651746696410745,2.775622268748752,0.0,0.25,A,independent,155.47741600312293,0,full_corpus,proven_optimal,-0.47421107200100693,n/a,83.0,62.857142857142854,68.0,35.0,16.58743069745454,440,,443,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,medium,0.9868297271872061,2318,,0.15,True,,,,3.7873002136833707,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.005518363934881232,top_k,0.5,25,91,14,5,0.1,3.745934497939774,0.04136571574359671,0.010922217254957492,-0.5180005371511215,0.1-pilot,low,0.2187672173282122,13.523195974738691,,0.3641610068152602,5.098254095413643,0.0,0.6,A,independent,0.07841701153665781,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,125.0,74.92857142857143,73.5,35.0,23.351706528692883,1049,,1063,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,medium,0.9924741298212606,2318,,0.15,True,,,,3.7873002136833707,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.005159998702351689,mmr,0.5,25,91,14,5,0.1,3.637588179131634,0.14971203455173665,0.03953001507797898,-0.5180005371511215,0.1-pilot,low,0.19523903709951732,11.791392890171204,,0.3440519620106253,4.816727468148755,0.0,0.6,A,independent,0.06470899097621441,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,125.0,75.35714285714286,74.0,35.0,23.434383492431152,1055,,1063,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,medium,0.9887111947318908,2318,,0.15,True,,,,3.7873002136833707,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.005442838075890171,greedy_objective,0.5,25,105,15,5,0.1,3.7873002136833707,0.0,0.0,-0.5180005371511215,0.1-pilot,low,0.19902012914513123,14.461279684790874,,0.3488952121441639,5.233428182162458,0.0,0.6,A,independent,0.0576250022277236,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,115.0,70.06666666666666,73.0,35.0,18.339912239495067,1051,,1063,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,medium,0.9887111947318908,2318,,0.15,True,,,,3.7873002136833707,,,,,,,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,False,0.005442838075890171,greedy_token_aware,0.5,25,105,15,5,0.1,3.7873002136833707,0.0,0.0,-0.5180005371511215,0.1-pilot,low,0.19902012914513123,14.461279684790874,,0.3488952121441639,5.233428182162458,0.0,0.6,A,independent,0.09691703598946333,0,full_corpus,heuristic_no_guarantee,-0.47421107200100693,no_candidate_fits_budget,115.0,70.06666666666666,73.0,35.0,18.339912239495067,1051,,1063,1772,,True,proven_optimal
False,ABC,synthetic_factorial,-0.3779317153013123,,,0.0,medium,0.9887111947318908,2318,,0.15,True,1.7192920204252005,231,True,3.7873002136833707,True,1,55.89595896890387,3.787300213683367,Optimal,600.0,S00-A-low,0.2937845155709141,0.10081980578974037,0.47657023864336684,True,0.005442838075890171,ilp,0.5,25,105,15,5,0.1,3.7873002136833707,0.0,0.0,-0.5180005371511215,0.1-pilot,low,0.19902012914513123,14.461279684790874,,0.3488952121441639,5.233428182162458,0.0,0.6,A,independent,57.942333980463445,0,full_corpus,proven_optimal,-0.47421107200100693,n/a,115.0,70.06666666666666,73.0,35.0,18.339912239495067,1051,,1063,1772,,True,proven_optimal
