adv_feasible_at_medium,adversarial_cap,adversarial_indices,adversarial_tokens_after,arm,beta_hat,beta_target,budget_loose,budget_medium,budget_tight,budgets_ordered,corpus_token_mass,elapsed_s,gamma,min_token,n_topics_used,n_unique_relevance,n_unique_tokens,pearson,redundancy_level,relevance_max,relevance_mean,relevance_min,relevance_std,rho_c,rho_dev_loose,rho_dev_medium,rho_dev_tight,rho_realized_loose,rho_realized_medium,rho_realized_tight,rl_condition,saturation_fraction,seed,similarity_max,similarity_mean,similarity_min,similarity_std,spearman,tight_affords_min_token,tokens_cv,tokens_max,tokens_mean,tokens_min,tokens_std,tokens_total,validation_ok,w_sat,w_sat_n_selected,w_sat_pre_intervention,w_sat_pre_proven,w_sat_proven,w_sat_status
,,,,synthetic,-0.3779317153013123,0.0,2658,1063,443,True,2318,0.10788893699645996,0.15,35,5,25,23,-0.5180005371511215,low,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.0,0.0,0.00011286681715572122,0.0,1.5,0.5998871331828443,0.25,A,0.7644521138912856,0,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,-0.47421107200100693,True,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,1772,19,,,True,proven_optimal
,,,,synthetic,-0.3779317153013123,0.0,1574,629,262,True,2318,0.8838222026824951,0.7,35,5,25,23,-0.5180005371511215,high,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.0,0.0004766444232602307,0.00038131553860820677,0.00023832221163011535,1.5004766444232602,0.5996186844613918,0.24976167778836988,A,0.4525452976704055,0,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,-0.47421107200100693,True,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,1049,14,,,True,proven_optimal
,,,,synthetic,-0.004703740054889069,0.5,2817,1127,470,True,2316,0.055162906646728516,0.15,42,5,25,22,-0.11210968927724925,low,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.5,0.0,0.00010649627263048522,0.00026624068157615755,1.5,0.6001064962726305,0.25026624068157616,B,0.810880829015544,0,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,-0.08350973105825663,True,0.32411712836945106,165,92.64,42,30.026210772145948,2316,True,1878,19,,,True,proven_optimal
,,,,synthetic,-0.004703740054889069,0.5,1882,753,314,True,2316,0.3755378723144531,0.7,42,5,25,22,-0.11210968927724925,high,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.5,0.00039840637450194727,0.0,0.00019920318725097363,1.499601593625498,0.6,0.250199203187251,B,0.5418825561312608,0,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,-0.08350973105825663,True,0.32411712836945106,165,92.64,42,30.026210772145948,2316,True,1255,14,,,True,proven_optimal
,,,,synthetic,-0.4895467010126793,-0.5,2386,955,398,True,2231,0.05101418495178223,0.15,26,5,25,22,-0.7080702307819875,low,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,-0.5,0.0003142677561283058,0.00025141420490260025,0.0001571338780640974,1.4996857322438717,0.6002514142049026,0.2501571338780641,C,0.7131331241595698,0,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,-0.7437924522971876,True,0.5378975697654104,214,89.24,26,48.00197912586522,2231,True,1591,19,,,True,proven_optimal
,,,,synthetic,-0.4895467010126793,-0.5,1334,533,222,True,2231,0.41165900230407715,0.7,26,5,25,22,-0.7080702307819875,high,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,-0.5,0.0005624296962880582,0.0004499437570303355,0.00028121484814397357,1.500562429696288,0.5995500562429696,0.24971878515185603,C,0.39847601972209773,0,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,-0.7437924522971876,True,0.5378975697654104,214,89.24,26,48.00197912586522,2231,True,889,14,,,True,proven_optimal
True,797,"[11, 0, 7, 10]","[210, 294, 444, 408]",synthetic,-0.3779317153013123,,4353,1741,726,True,3448,0.09373211860656738,0.15,45,5,25,23,-0.5180005371511215,low,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.0,0.0,6.89179875947854e-05,0.000172294968986908,1.5,0.5999310820124052,0.2501722949689869,D,0.8416473317865429,0,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,-0.47421107200100693,True,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,2902,19,1772,True,True,proven_optimal
True,472,"[11, 0, 7, 10]","[210, 294, 444, 408]",synthetic,-0.3779317153013123,,3268,1307,545,True,3448,1.66231107711792,0.7,45,5,25,23,-0.5180005371511215,high,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.0,0.00022946305644788723,0.00018357044515826537,0.00011473152822394361,1.4997705369435521,0.5998164295548417,0.25011473152822394,D,0.6319605568445475,0,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,-0.47421107200100693,True,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,2179,14,1049,True,True,proven_optimal
,,,,synthetic,-0.1540941879739902,0.0,2408,963,401,True,2301,0.018413066864013672,0.15,32,5,25,22,-0.23556864404378985,low,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,0.0,0.00031152647975085657,0.0,0.00015576323987540053,1.5003115264797509,0.6,0.2498442367601246,A,0.6975228161668839,1,0.43927450769081167,0.0692591074327479,-0.27951440477790535,0.1190211673853651,-0.1555342395072794,True,0.43602274810901587,208,92.04,32,40.13153373595382,2301,True,1605,18,,,True,proven_optimal
,,,,synthetic,-0.1540941879739902,0.0,1698,679,283,True,2301,0.08726286888122559,0.7,32,5,25,22,-0.23556864404378985,high,0.3931873779589222,0.21419893325364764,0.06400767122378753,0.09138007321165943,0.0,0.0,0.00017667844522961662,0.0,1.5,0.5998233215547704,0.25,A,0.4919600173837462,1,0.8064293145652528,0.1551789721612778,-0.16412119215904236,0.25711340135747773,-0.1555342395072794,True,0.43602274810901587,208,92.04,32,40.13153373595382,2301,True,1132,13,,,True,proven_optimal
