arm,budget_level,budget_utilization,corpus_token_mass,diag_adversarial_applied,diag_adversarial_cap,diag_adversarial_indices,diag_adversarial_tokens_after,diag_adversarial_w_sat_pre,diag_beta_hat,diag_beta_hat_n_dropped_nonpositive,diag_beta_hat_n_used,diag_beta_target,diag_gamma,diag_n_docs,diag_pearson_p,diag_pearson_r_relevance_tokens,diag_relevance_max,diag_relevance_mean,diag_relevance_min,diag_relevance_std,diag_similarity_max,diag_similarity_mean,diag_similarity_min,diag_similarity_std,diag_spearman_p,diag_spearman_rho_relevance_tokens,diag_tokens_cv,diag_tokens_max,diag_tokens_mean,diag_tokens_min,diag_tokens_std,diag_tokens_total,gap_is_valid,ilp_proven_global_optimum,ilp_status,meta_backend,meta_embed_dim,meta_gamma,meta_generator,meta_is_adversarial,meta_mmr_lambda,meta_n_docs,meta_n_topics,meta_objective_lambda,meta_protocol_version,meta_redundancy_level,meta_rho_c,meta_rl_condition,meta_rl_condition_name,meta_seed,meta_target_beta,method,n_selected,optimality_gap,redundancy_per_pair,redundancy_total,relevance_sum,rho_realized,score,solve_scope,solve_status,stop_reason,tokens_used,w_max,w_sat,w_sat_proven
synthetic_factorial,tight,0.9841986455981941,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,top_k,7,0.006256286648382762,0.1850008849264532,3.8850185834555173,2.7995659900789787,0.25,2.411064131733427,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,436,443,1772,True
synthetic_factorial,tight,0.9977426636568849,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,mmr,7,0.000556173939240799,0.13593862291145886,2.854711081140636,2.7103651007212743,0.25,2.4248939926072106,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,442,443,1772,True
synthetic_factorial,tight,0.9345372460496614,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,greedy_objective,6,0.08920027621155041,0.1277041359144712,1.915562038717068,2.401378027863495,0.25,2.209821823991788,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,414,443,1772,True
synthetic_factorial,tight,0.9390519187358917,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,greedy_token_aware,7,0.025733739241236828,0.19073824122789093,4.005503065785709,2.76435739739369,0.25,2.363807090815119,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,416,443,1772,True
synthetic_factorial,tight,0.9932279909706546,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,ilp,7,0.0,0.16637088704232936,3.4937886278889168,2.775622268748752,0.25,2.4262434059598603,full_corpus,proven_optimal,n/a,440,443,1772,True
synthetic_factorial,medium,0.9868297271872061,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,top_k,14,0.010922217254957492,0.14860654917295266,13.523195974738691,5.098254095413643,0.5998871331828443,3.745934497939774,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,1049,1063,1772,True
synthetic_factorial,medium,0.9924741298212606,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,mmr,14,0.03953001507797898,0.1295757460458374,11.791392890171204,4.816727468148755,0.5998871331828443,3.637588179131634,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,1055,1063,1772,True
synthetic_factorial,medium,0.9887111947318908,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,greedy_objective,15,0.0,0.13772647318848452,14.461279684790874,5.233428182162458,0.5998871331828443,3.7873002136833707,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,1051,1063,1772,True
synthetic_factorial,medium,0.9887111947318908,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,greedy_token_aware,15,0.0,0.13772647318848452,14.461279684790874,5.233428182162458,0.5998871331828443,3.7873002136833707,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,1051,1063,1772,True
synthetic_factorial,medium,0.9887111947318908,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,ilp,15,0.0,0.13772647318848452,14.461279684790874,5.233428182162458,0.5998871331828443,3.7873002136833707,full_corpus,proven_optimal,n/a,1051,1063,1772,True
synthetic_factorial,loose,0.6106094808126411,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,top_k,19,0.003817855567410724,0.13439342359270723,22.981275434352938,6.287442720008075,1.5,3.9893151765727812,full_corpus,heuristic_no_guarantee,no_positive_marginal_gain,1623,2658,1772,True
synthetic_factorial,loose,0.6866064710308503,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,mmr,20,0.0036764778624411025,0.12779629936868295,24.281296880049762,6.418011026325603,1.5,3.9898813383206266,full_corpus,heuristic_no_guarantee,no_positive_marginal_gain,1825,2658,1772,True
synthetic_factorial,loose,0.6666666666666666,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,greedy_objective,19,-4.4357863122549246e-16,0.1306429954546797,22.339952222750227,6.238599399199955,1.5,4.004604176924932,full_corpus,heuristic_no_guarantee,no_positive_marginal_gain,1772,2658,1772,True
synthetic_factorial,loose,0.6106094808126411,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,greedy_token_aware,19,0.003817855567410502,0.13439342359270723,22.981275434352938,6.287442720008076,1.5,3.989315176572782,full_corpus,heuristic_no_guarantee,no_positive_marginal_gain,1623,2658,1772,True
synthetic_factorial,loose,0.6666666666666666,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.44394491867271274,0.10081980578974037,-0.24653663246047935,0.13692498638921297,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.15,,False,0.5,25,5,0.1,0.1-pilot,low,0.0,A,independent,0,0.0,ilp,19,0.0,0.1306429954546797,22.339952222750227,6.238599399199954,1.5,4.00460417692493,full_corpus,proven_optimal,n/a,1772,2658,1772,True
synthetic_factorial,tight,0.8625954198473282,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.7,,False,0.5,25,5,0.1,0.1-pilot,high,0.0,A,independent,0,0.0,top_k,4,0.02868201219446635,0.14938744256159966,0.896324655369598,1.7052733830543272,0.24976167778836988,1.6156409175173674,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,226,262,1049,True
synthetic_factorial,tight,1.0,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.7,,False,0.5,25,5,0.1,0.1-pilot,high,0.0,A,independent,0,0.0,mmr,4,0.08497912303170008,0.142457770035341,0.854746620212046,1.6074738299276758,0.24976167778836988,1.5219991679064713,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,262,262,1049,True
synthetic_factorial,tight,0.8625954198473282,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.7,,False,0.5,25,5,0.1,0.1-pilot,high,0.0,A,independent,0,0.0,greedy_objective,4,0.02868201219446635,0.14938744256159966,0.896324655369598,1.7052733830543272,0.24976167778836988,1.6156409175173674,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,226,262,1049,True
synthetic_factorial,tight,0.8625954198473282,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.7,,False,0.5,25,5,0.1,0.1-pilot,high,0.0,A,independent,0,0.0,greedy_token_aware,4,0.028682012194466214,0.14938744256159966,0.896324655369598,1.7052733830543274,0.24976167778836988,1.6156409175173676,full_corpus,heuristic_no_guarantee,no_candidate_fits_budget,226,262,1049,True
synthetic_factorial,tight,0.9961832061068703,2318,False,,,,,-0.3779317153013123,,,0.0,,25,0.007992289814591522,-0.5180005371511215,0.4613331212955211,0.2937845155709141,0.13596963608103152,0.09248293478072254,0.8149909474445904,0.18340076017052379,-0.24614757092951947,0.25828956504635947,0.01662446580192511,-0.47421107200100693,0.47657023864336684,216,92.72,35,44.187592527012974,2318,True,True,proven_optimal,,64,0.7,,False,0.5,25,5,0.1,0.1-pilot,high,0.0,A,independent,0,0.0,ilp,5,0.0,0.23307107758422302,2.3307107758422303,1.8964201947642014,0.24976167778836988,1.6633491171799784,full_corpus,proven_optimal,n/a,261,262,1049,True
