beta_hat_mean,budget_level,ci95_hi,ci95_lo,cohens_dz,gap_greedy_objective_mean,gap_greedy_token_aware_mean,ilp_optimum_mean,losses,max_diff,mean_delta_gap,mean_diff,median_delta_gap,median_diff,min_diff,n,n_pairs,rank_biserial,redundancy_level,rl_condition,score_greedy_objective_mean,score_greedy_token_aware_mean,sd_delta_gap,std_diff,ties,wilcoxon_p,wins
-0.03377216199749365,tight,0.4608859263841278,0.27444654188604467,1.1801409576486308,0.37832322051366474,0.022449309080124612,2.3035806130116674,1,1.2950731468790924,0.3558739114335402,0.3558739114335402,0.25785679538514783,0.25785679538514783,-0.05543860870008821,40,40,0.9923076923076923,low,A,1.9252573924980028,2.281131303931543,0.30155203844683126,0.30155203844683126,1,6.64242268812682e-08,38
-0.03377216199749365,medium,0.13151206266434462,0.0718830862735971,1.0381815869893412,0.12642311729009165,0.02617912488886349,3.427780060531039,7,0.3184064625851426,0.10024399240122817,0.10024399240122817,0.08041014438620331,0.08041014438620331,-0.09459786905323053,40,40,0.8923076923076924,low,A,3.301356943240947,3.4016009356421746,0.09655728213397542,0.09655728213397542,1,1.1957575323083572e-06,32
-0.03377216199749365,loose,-0.008339362778431492,-0.02479508737442903,-0.5627135693913912,0.0012336095733954445,0.015412073790323532,3.8172285586953665,22,0.0035856071204531936,-0.014178464216928088,-0.014178464216928088,-0.001070298629272104,-0.001070298629272104,-0.11868025527532833,40,40,-0.9710144927536232,low,A,3.8159949491219707,3.801816484905043,0.02519659199308621,0.02519659199308621,17,5.5187596885762325e-05,1
-0.03377216199749365,tight,0.3743040371790021,0.19080372815783217,0.9154549058367204,0.31095223479741885,0.04006009653907805,1.7792309902389025,7,1.0832977327106499,0.2708921382583408,0.2708921382583408,0.23470618903751228,0.23470618903751228,-0.08634823798054958,40,40,0.8805120910384068,high,A,1.4682787554414836,1.7391708936998242,0.29590986571943373,0.29590986571943373,3,3.1241898199101946e-06,30
-0.03377216199749365,medium,0.13933100553581473,0.08041614748652637,1.114296986352937,0.1334099950944732,0.025916668640411776,2.6831448781265075,2,0.34832288098593844,0.10749332645406144,0.10749332645406144,0.08095342955874862,0.08095342955874862,-0.03737191779620108,40,40,0.9536585365853658,high,A,2.5497348830320345,2.657228209486096,0.09646739403458687,0.09646739403458687,0,5.584297468885779e-10,38
-0.03377216199749365,loose,-0.033596308259661326,-0.0577768034060552,-1.1595744623851385,0.0019105187874462026,0.0464721099262982,2.9622908429409973,36,0.006639350917301279,-0.044561591138852,-0.044561591138852,-0.03394209183186936,-0.03394209183186936,-0.14807186783994242,40,40,-0.9865047233468286,high,A,2.9603803241535513,2.9158187330146994,0.03842926227194835,0.03842926227194835,2,1.2732925824820995e-10,2
0.40510188884710685,tight,0.5580701715361998,0.37924546354059685,1.5852630634685763,0.5008916138682806,0.03390949491094963,2.0739771083109035,0,1.0628458476521174,0.46698211895733105,0.46698211895733105,0.43721804259711694,0.43721804259711694,0.02320287099313445,40,40,1.0,low,B,1.5730854944426225,2.0400676133999536,0.2945770514173011,0.2945770514173011,0,1.8189894035458565e-12,40
0.40510188884710685,medium,0.2205878322058511,0.13739162012234318,1.29657142710539,0.20289378650539228,0.028037354236564994,3.3183880581113057,2,0.5358752286349455,0.17485643226882724,0.17485643226882724,0.140883432839217,0.140883432839217,-0.015893167039756406,40,40,0.9923076923076923,low,B,3.1154942716059133,3.29035070387474,0.13486062442328853,0.13486062442328853,1,6.64242268812682e-08,37
0.40510188884710685,loose,-0.014502300979223106,-0.0367600419788162,-0.6484366856584444,0.0012336095733954445,0.024711215865853575,3.8172285586953665,27,0.0035856071204523055,-0.023477606292458132,-0.023477606292458132,-0.006231707413353105,-0.006231707413353105,-0.1347921948430404,40,40,-0.9753694581280788,low,B,3.8159949491219707,3.7925173428295125,0.03620647445111497,0.03620647445111497,12,2.372680612531353e-06,1
0.40510188884710685,tight,0.43862776084971905,0.27099621142228447,1.3065204360037825,0.3854369973703472,0.03650277193586875,1.6414948453105296,3,0.9112279314671259,0.34893422543447844,0.34893422543447844,0.31355472342072066,0.31355472342072066,-0.05233874143154238,40,40,0.9846153846153847,high,B,1.2560578479401825,1.604992073374661,0.26707138734220937,0.26707138734220937,1,8.381400313240946e-08,36
